12-24 13:09:12 | Blue-H vs Red-H
12-24 13:09:12 | Directory: results\exp_2_baseline\evaluation.log
12-24 13:09:45 | Episode:    96 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.133 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.489 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  96.000
12-24 13:09:45 | Episode:    97 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.556 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.770 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  97.000
12-24 13:09:45 | Episode:    98 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.210 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.340 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  95.000
12-24 13:09:45 | Episode:    99 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.881 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.788 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  98.000
12-24 13:09:45 | Episode:   100 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.856 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.104 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  99.000
12-24 13:09:45 | Episode:   101 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.648 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.298 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 100.000
12-24 13:09:48 | Episode:   102 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.826 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.950 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 101.000
12-24 13:09:48 | Episode:   103 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.217 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.878 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 102.000
12-24 13:09:48 | Episode:   104 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.635 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.823 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 103.000
12-24 13:09:48 | Episode:   105 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.723 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.882 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 104.000
12-24 13:09:48 | Episode:   106 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.179 | timestep:  84.000 | blue catch:   1.000 | blue attack:   1.986 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 105.000
12-24 13:09:48 | Episode:   107 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.260 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.040 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 106.000
12-24 13:09:48 | Episode:   108 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.463 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.509 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 107.000
12-24 13:09:48 | Episode:   109 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.781 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.587 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 108.000
12-24 13:09:48 | Episode:   110 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.538 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.092 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 109.000
12-24 13:09:48 | Episode:   111 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.747 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.565 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 110.000
12-24 13:09:51 | Episode:   112 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.612 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.808 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 112.000
