12-23 18:21:37 | Blue-H vs Red-H
12-23 18:21:37 | Directory: results\Test_90\evaluation.log
12-23 19:02:47 | Episode:    95 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.501 | timestep:  90.000 | blue catch:   0.000 | blue attack:   0.001 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  94.000
12-23 19:03:11 | Episode:    96 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.700 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  95.000
12-23 19:03:37 | Episode:    97 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  96.000
12-23 19:04:04 | Episode:    98 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  97.000
12-23 19:04:42 | Episode:    99 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.353 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.138 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  98.000
12-23 19:05:06 | Episode:   100 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.114 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.018 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  99.000
12-23 19:05:30 | Episode:   101 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.857 | timestep:  89.000 | blue catch:   0.000 | blue attack:   0.010 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 100.000
12-23 19:05:55 | Episode:   102 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.900 | timestep:  98.000 | blue catch:   0.000 | blue attack:   0.266 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 101.000
12-23 19:06:21 | Episode:   103 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 102.000
12-23 19:06:49 | Episode:   104 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 103.000
12-23 19:07:02 | Episode:   105 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward: -11.100 | timestep:  26.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed: 104.000
12-23 19:07:28 | Episode:   106 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.365 | timestep:  89.000 | blue catch:   0.000 | blue attack:   0.020 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 105.000
12-23 19:07:51 | Episode:   107 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 106.000
12-23 19:08:24 | Episode:   108 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 107.000
12-23 19:08:49 | Episode:   109 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.050 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed: 108.000
12-23 19:09:16 | Episode:   110 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 109.000
12-23 19:09:43 | Episode:   111 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.952 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.003 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 110.000
12-23 19:10:08 | Episode:   112 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed: 111.000
