12-24 13:02:50 | Blue-H vs Red-H
12-24 13:02:50 | Directory: results\exp_2_baseline\evaluation.log
12-24 13:03:02 | Episode:    41 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.527 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.551 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  39.000
12-24 13:03:05 | Episode:    42 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.946 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.031 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  41.000
12-24 13:03:05 | Episode:    43 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.214 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.543 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  42.000
12-24 13:03:05 | Episode:    44 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.135 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.156 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  45.000
12-24 13:03:05 | Episode:    45 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.130 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.953 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  43.000
12-24 13:03:05 | Episode:    46 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.206 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.004 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  44.000
12-24 13:03:05 | Episode:    47 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.824 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.949 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  47.000
12-24 13:03:05 | Episode:    48 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.751 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.901 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  48.000
12-24 13:03:05 | Episode:    49 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.659 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.173 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  49.000
12-24 13:03:05 | Episode:    50 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.326 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.084 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  46.000
12-24 13:03:06 | Episode:    51 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.933 | timestep:  86.000 | blue catch:   1.000 | blue attack:   2.755 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  50.000
12-24 13:03:08 | Episode:    52 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.546 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.564 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  51.000
12-24 13:03:09 | Episode:    53 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.329 | timestep:  84.000 | blue catch:   1.000 | blue attack:   1.419 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  52.000
