12-24 14:01:33 | Blue-H vs Red-H
12-24 14:01:33 | Directory: results\exp_2_approachB\exp_2_approachB.log
12-24 14:01:45 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.044 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.896 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  34.000
12-24 14:01:45 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.623 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.615 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  36.000
12-24 14:01:45 | Episode:    39 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.818 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.945 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  40.000
12-24 14:01:45 | Episode:    40 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.735 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.023 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  38.000
12-24 14:01:45 | Episode:    41 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.814 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.409 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  39.000
12-24 14:01:48 | Episode:    42 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.614 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.476 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  41.000
12-24 14:01:48 | Episode:    43 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.427 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.685 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  42.000
12-24 14:01:48 | Episode:    44 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.252 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.234 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  45.000
12-24 14:01:48 | Episode:    45 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.158 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.972 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  43.000
12-24 14:01:48 | Episode:    46 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.789 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.393 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  44.000
12-24 14:01:48 | Episode:    47 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.321 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.614 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  47.000
12-24 14:01:48 | Episode:    48 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.974 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.049 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  48.000
12-24 14:01:48 | Episode:    49 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.763 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.242 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  49.000
12-24 14:01:48 | Episode:    50 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.466 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.377 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  50.000
12-24 14:01:48 | Episode:    51 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.703 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.002 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  46.000
12-24 14:01:51 | Episode:    52 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.016 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.211 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  51.000
12-24 14:01:51 | Episode:    53 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.096 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.264 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  52.000
12-24 14:01:51 | Episode:    54 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.111 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.808 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  54.000
12-24 14:01:51 | Episode:    55 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.803 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.935 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  55.000
12-24 14:01:51 | Episode:    56 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.398 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.999 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  57.000
12-24 14:01:51 | Episode:    57 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.243 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.029 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  53.000
12-24 14:01:51 | Episode:    58 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.173 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.515 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  58.000
12-24 14:01:51 | Episode:    59 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.079 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.786 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  59.000
12-24 14:01:51 | Episode:    60 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.343 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.629 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  60.000
12-24 14:01:51 | Episode:    61 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.685 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.657 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  56.000
12-24 14:01:54 | Episode:    62 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.759 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.573 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  62.000
12-24 14:01:54 | Episode:    63 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.446 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.164 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  61.000
12-24 14:01:54 | Episode:    64 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.594 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.463 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  65.000
12-24 14:01:54 | Episode:    65 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.636 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.490 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  66.000
12-24 14:01:54 | Episode:    66 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  15.308 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.272 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  67.000
12-24 14:01:54 | Episode:    67 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.163 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.642 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  63.000
12-24 14:01:54 | Episode:    68 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.369 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.446 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  64.000
12-24 14:01:54 | Episode:    69 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.637 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.825 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  70.000
12-24 14:01:54 | Episode:    70 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.093 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.929 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  68.000
12-24 14:01:54 | Episode:    71 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.895 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.797 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  69.000
12-24 14:01:57 | Episode:    72 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.070 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.780 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  72.000
