12-24 14:25:24 | Blue-H vs Red-H
12-24 14:25:24 | Directory: results\exp_2_approachB\exp_2_approachB.log
12-24 14:25:44 | Episode:    62 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.694 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.196 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  62.000
12-24 14:25:45 | Episode:    63 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.373 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.648 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  65.000
12-24 14:25:45 | Episode:    64 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.046 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.564 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  61.000
12-24 14:25:45 | Episode:    65 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.083 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.455 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  66.000
12-24 14:25:45 | Episode:    66 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.909 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.806 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  63.000
12-24 14:25:45 | Episode:    67 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.377 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.985 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  67.000
12-24 14:25:45 | Episode:    68 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.329 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.086 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  64.000
12-24 14:25:45 | Episode:    69 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.453 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.369 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  70.000
12-24 14:25:45 | Episode:    70 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.909 | timestep:  84.000 | blue catch:   2.000 | blue attack:   2.473 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  68.000
12-24 14:25:45 | Episode:    71 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.629 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.619 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  69.000
12-24 14:25:48 | Episode:    72 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.753 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.902 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  72.000
12-24 14:25:48 | Episode:    73 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.084 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.456 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  73.000
12-24 14:25:48 | Episode:    74 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.663 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.642 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  71.000
12-24 14:25:48 | Episode:    75 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.197 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.531 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  75.000
12-24 14:25:48 | Episode:    76 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.237 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.892 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  77.000
12-24 14:25:48 | Episode:    77 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.010 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.207 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  74.000
12-24 14:25:48 | Episode:    78 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.622 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.948 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  76.000
